Date,Subways: Total Estimated Ridership,Subways: % Change From Pre-Pandemic Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From Pre-Pandemic Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From Pre-Pandemic Equivalent Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From Pre-Pandemic Equivalent Day
11/23/2021,"3,264,258",-44.10%,"1,309,118",-43.20%,"162,200",-44%,"136,600",-47%,"22,574",-29.20%,"989,345",-0.80%
11/22/2021,"3,123,920",-45.50%,"1,384,593",-39.10%,"156,900",-46%,"127,800",-52%,"21,441",-28.30%,"901,942",-0.40%
11/21/2021,"1,674,592",-25.70%,"668,273",-28.30%,"80,500",-14%,"66,900",-17%,,,"841,901",11.50%
11/20/2021,"2,136,409",-33.00%,"857,104",-36.90%,"94,400",-16%,"82,900",-14%,,,"915,131",2.00%
11/19/2021,"3,253,680",-44.00%,"1,409,210",-35.70%,"151,800",-49%,"127,100",-53%,"22,662",-25.50%,"987,149",0.90%
11/18/2021,"3,417,348",-43.10%,"1,498,026",-35.80%,"157,400",-45%,"132,600",-49%,"24,071",-25.80%,"959,226",-0.10%
11/17/2021,"3,374,032",-43.10%,"1,496,181",-35.70%,"158,400",-45%,"131,100",-49%,"24,396",-27.20%,"915,266",-1.40%
11/16/2021,"3,345,678",-43.30%,"1,488,967",-35.90%,"161,400",-44%,"137,200",-47%,"23,694",-27.50%,"902,386",-0.80%
11/15/2021,"3,115,244",-44.50%,"1,436,560",-33.90%,"161,000",-45%,"132,200",-50%,"22,208",-25.30%,"890,524",0.90%
11/14/2021,"1,704,908",-30.00%,"657,129",-35.00%,"72,500",-22%,"62,900",-22%,"12,460",-34.30%,"858,311",4.60%
11/13/2021,"2,172,149",-32.90%,"815,114",-38.10%,"80,800",-28%,"74,300",-23%,"13,124",-24.90%,"869,112",-3.80%
